,TLT,IEI,VTI,BND,IAU,DBC,SHV,Portfolio Returns,Portfolio Values
11/30/2014,0.5,0,0.5,0,0,0,0,0.016065752,14674.10166
12/31/2014,0.5,0,0.5,0,0,0,0,0.035399212,14909.85214
1/31/2015,0.5,0,0.5,0,0,0,0,-0.001981723,15437.64915
2/28/2015,0.5,0,0.5,0,0,0,0,-0.000353469,15407.05602
3/31/2015,0.5,0,0.5,0,0,0,0,-0.014048724,15401.6101
4/30/2015,0.5,0,0.5,0,0,0,0,-0.005375532,15185.23713
5/31/2015,0,0,0.5,0.5,0,0,0,-0.013935854,15103.6084
6/30/2015,0,0.5,0.5,0,0,0,0,0.011861695,14893.12671
7/31/2015,0,0.5,0.5,0,0,0,0,-0.030680437,15069.78444
8/31/2015,0,0.5,0,0,0,0,0.5,0.005594619,14607.43688
9/30/2015,0.5,0.5,0,0,0,0,0,-0.004441203,14689.15993
10/31/2015,0,0.5,0.5,0,0,0,0,0.000931548,14623.92238
11/30/2015,0,0.5,0.5,0,0,0,0,-0.012027468,14637.54526
12/31/2015,0,0,0,1,0,0,0,0.012011576,14461.49266
1/31/2016,0.5,0.5,0,0,0,0,0,0.018179523,14635.19797
2/29/2016,0.5,0,0,0,0.5,0,0,-0.005053814,14901.25889
3/31/2016,0.5,0,0,0,0.5,0,0,0.02156983,14825.9507
4/30/2016,0.5,0,0,0,0.5,0,0,-0.026421256,15145.74394
5/31/2016,0.5,0,0,0,0.5,0,0,0.079039296,14745.57437
6/30/2016,0.5,0,0,0,0.5,0,0,0.020700351,15911.0542
7/31/2016,0.5,0,0,0,0.5,0,0,-0.021196121,16240.4186
8/31/2016,0.5,0,0,0,0.5,0,0,-0.00397039,15896.18473
9/30/2016,0,0,0.5,0,0.5,0,0,-0.025536747,15833.07068
10/31/2016,0,0,0.5,0,0,0.5,0,0.030809338,15428.74555
11/30/2016,0,0,0.5,0,0,0.5,0,0.030643287,15904.09499
12/31/2016,0,0,0.5,0,0,0.5,0,0.006437728,16391.44873
1/31/2017,0,0,0.5,0,0,0.5,0,0.017522045,16496.97241
2/28/2017,0,0,0.5,0,0,0.5,0,-0.015945179,16786.03311
3/31/2017,0,0,0.5,0,0,0.5,0,-0.008161533,16518.3768
4/30/2017,0,0,0.5,0,0.5,0,0,0.00464718,16383.56153
5/31/2017,0,0,0.5,0,0.5,0,0,-0.005919223,16459.69889
6/30/2017,0,0,0.5,0.5,0,0,0,0.012463046,16362.27026
7/31/2017,0,0,0.5,0.5,0,0,0,0.006089689,16566.19398
8/31/2017,0,0,0.5,0,0.5,0,0,-0.003915912,16667.07695
9/30/2017,0,0,0.5,0,0.5,0,0,0.006785811,16601.81015
10/31/2017,0,0,0.5,0,0,0.5,0,0.019836158,16714.46689
11/30/2017,0,0,0.5,0,0,0.5,0,0.019728542,17046.0177
12/31/2017,0,0,0.5,0,0,0.5,0,0.040906721,17382.31078
1/31/2018,0,0,0.5,0,0,0.5,0,-0.033417968,18093.36411
2/28/2018,0,0,0.5,0,0,0.5,0,0.001629997,17488.72063
3/31/2018,0,0,0.5,0,0,0.5,0,0.019326309,17517.22721
4/30/2018,0,0,0.5,0,0,0.5,0,0.026989151,17855.77054
5/31/2018,0,0,0.5,0,0,0.5,0,-0.006187989,18337.68262
6/30/2018,0,0,0.5,0,0,0.5,0,0.004431345,18224.20924
7/31/2018,0,0,0.5,0,0,0.5,0,0.020929814,18304.96699
8/31/2018,0,0,0.5,0,0,0.5,0,0.017953955,18688.08656
9/30/2018,0,0,0.5,0,0,0.5,0,-0.065155465,19023.61162
10/31/2018,0,0,0,0,0,0,1,0.001868391,17784.11936
11/30/2018,0,0,0,0.5,0,0,0.5,0.010374482,17817.34705
12/31/2018,0.5,0.5,0,0,0,0,0,0.004487244,18002.19279
1/31/2019,0.5,0,0,0,0.5,0,0,-0.009255447,18082.97303
2/28/2019,0,0,0,0.5,0.5,0,0,0.001744907,17915.60704
3/31/2019,0.5,0,0.5,0,0,0,0,0.009670041,17946.86811
4/30/2019,0.5,0,0.5,0,0,0,0,0.00194668,18120.41507
5/31/2019,0.5,0,0,0.5,0,0,0,0.01098449,18155.68972
