,TLT,IEI,VTI,BND,IAU,DBC,SHV,Portfolio Returns,Portfolio Values
2015-10-31,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.000931404322354723,14623.918882559372
2015-11-30,0.0,0.5,0.5,0.0,0.0,0.0,0.0,-0.012026799330592197,14637.539663816353
2015-12-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012011148914458314,14461.49691158605
2016-01-31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.01817992494147369,14635.196104517088
2016-02-29,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.005053886292589682,14901.262871200955
2016-03-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.02157008408390676,14825.953583033917
2016-04-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.026421622575123982,15145.750648444058
2016-05-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.07903959364504975,14745.575341193931
2016-06-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.020700415079411227,15911.059624224366
2016-07-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.021196085420894517,16240.425162799072
2016-08-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.0039707876552995125,15896.191723776737
2016-09-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.025536749182199336,15833.07132191369
2016-10-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.030809432234149225,15428.746150782106
2016-11-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.03064328219274426,15904.097059772519
2016-12-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.006437618866419026,16391.450793995922
2017-01-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.017522042649553426,16496.97270687533
2017-02-28,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.015945176771846925,16786.03336623372
2017-03-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.008161358259993867,16518.377096911005
2017-04-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.00464710922695033,16383.564703549437
2017-05-31,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.005919258278067108,16459.700918253642
2017-06-30,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.012463426491244212,16362.27169733876
2017-07-31,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.006089012360712687,16566.201667868307
2017-08-31,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.003916082929795617,16667.073474594017
2017-09-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.00678601122275968,16601.80383267051
2017-10-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.019836058679012947,16714.463859797066
2017-11-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.019728605674264932,17046.01294570824
2017-12-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.04090668824294885,17382.30701343253
2018-01-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.03341787634845467,18093.35962737424
2018-02-28,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0016297803889684936,17488.717972618524
2018-03-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.019326404582937773,17517.220742198497
2018-04-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.02698920709664676,17855.765637430854
2018-05-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.006187987725559452,18337.678594088666
2018-06-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.004431318501123271,18224.20526403319
2018-07-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.020929609664772086,18304.962521987967
2018-08-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.017954267461903206,18688.07824250146
2018-09-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.06515556912721804,19023.608997616306
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0018683124079752478,17784.114926522947
2018-11-30,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.010374792292503932,17817.341209105027
2018-12-31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.004487819494087941,18002.19242335416
2019-01-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.009255411047358442,18082.98301344801
2019-02-28,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0017450761594269837,17915.61757269615
2019-03-31,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.009670140233876912,17946.88168980367
2019-04-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0019466001660505827,18120.43055250487
2019-05-31,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.010984460066194468,18155.703785627284
2019-06-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0020233638146390787,18355.134388834165
2019-07-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.09370736124799761,18392.273503569373
2019-08-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.029196391104105268,20115.76492094032
2019-09-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.007200098396087984,19528.457180950303
2019-10-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.018633338398779398,19669.063994176937
2019-11-30,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.001966751267723943,19302.56366878619
2019-12-31,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.022797937360080678,19264.600327220283
2020-01-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.029836313035908835,19703.79347874724
2020-02-29,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.03188340700511616,20291.68202897404
2020-03-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.040600352726645306,20938.64998592222
2020-04-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.004225878701031471,21788.766560970427
2020-05-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.01559724571600829,21880.84324550218
2020-06-30,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.07720811363363012,22222.124134075737
2020-07-31,0.5,0.0,0.0,0.0,0.5,0.0,0.0,-0.027618722501666693,23937.852419400093
2020-08-31,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.03846574387805163,23276.71951614283
2020-09-30,0.0,0.0,0.5,0.0,0.5,0.0,0.0,-0.012526190511748747,22381.363184913636
2020-10-31,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.032743780629179764,22101.00996574677
2020-11-30,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.02414428861124429,22824.680587748495
2020-12-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.014997054703202783,23375.76626331856
2021-01-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.06638782452670533,23726.33390869883
2021-02-28,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.014653350906166818,25301.473600891546
2021-03-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.06431570747775883,25672.224972008527
2021-04-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.02154298037850466,27323.35228361144
2021-05-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.029883004584712825,27911.978725732253
2021-06-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.015177645051846378,28746.07251396172
2021-07-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.006087585879591018,29182.37019921327
2021-08-31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0037480914651215613,29360.020383970998
